"","P.xcor","P.ycor","patch.ID","Block.ID","Species","Number.in.yard"
"1",48,87,"48_87",4302,"species16",2
"2",48,87,"48_87",4302,"species297",2
"3",48,87,"48_87",4302,"species323",6
"4",48,87,"48_87",4302,"species391",8
"5",48,87,"48_87",4302,"species291",3
"6",48,87,"48_87",4302,"species237",5
"7",48,87,"48_87",4302,"species166",2
"8",48,87,"48_87",4302,"species371",1
"9",38,47,"38_47",2301,"species209",9
"10",38,47,"38_47",2301,"species86",10
"11",38,47,"38_47",2301,"species308",7
"12",38,47,"38_47",2301,"species237",3
"13",38,47,"38_47",2301,"species166",3
"14",38,47,"38_47",2301,"species371",5
"15",38,47,"38_47",2301,"species331",3
"16",38,47,"38_47",2301,"species159",1
"17",73,28,"73_28",1403,"species159",6
"18",73,28,"73_28",1403,"species166",7
"19",73,28,"73_28",1403,"species371",8
"20",73,28,"73_28",1403,"species331",3
"21",73,28,"73_28",1403,"species295",9
"22",73,28,"73_28",1403,"species59",8
"23",73,28,"73_28",1403,"species237",10
"24",73,28,"73_28",1403,"species129",5
"25",83,28,"83_28",1404,"species175",4
