"","X.run.number.","num.nurseries","patch.richness.constraints","patch.richness.visualization","mimicry","global_moran","moran_p","global_mantel","mantel_p"
"1",1,1,"off","false","false",-0.000193061205485099,0.632868578529462,0.0685839359820984,0.001
"7",2,1,"off","false","false",-0.000126724319809728,0.890915486890099,0.0652733263450026,0.001
"6",3,1,"off","false","false",-6.53277620824011e-05,0.858683443403664,0.0705374454044589,0.001
"10",4,1,"off","false","false",-0.000272646256159214,0.37549166966853,0.0698092926447403,0.001
"9",5,1,"off","false","false",0.000207126352826058,0.114818833689456,0.0692301526533219,0.001
"3",6,1,"off","false","false",-0.000203045978976742,0.596817490107192,0.0672760556532341,0.001
"5",7,1,"off","false","false",-4.16598955583709e-05,0.76451781804325,0.060805930835437,0.001
"4",8,1,"off","false","false",-0.000302331018784367,0.298946817571763,0.0629072621478811,0.001
"8",9,1,"off","false","false",-1.77781391187224e-05,0.672870266121614,0.0746864551760392,0.001
"2",10,1,"off","false","false",-0.000473183255607912,0.0553871539786684,0.0684355376677228,0.001
