"","X.run.number.","num.nurseries","happiness.type","patch.richness.constraints","patch.richness.visualization","yard.difference","mimicry","neighbor.distance","global_moran","moran_p","global_mantel","mantel_p"
"10",1,4,"equal","off",FALSE,0,TRUE,3,0.170707202581743,0,0.0337845701276612,0.001
"4",2,4,"equal","off",FALSE,0,TRUE,3,0.128584652410471,0,0.0305018223801444,0.001
"8",3,4,"equal","off",FALSE,0,TRUE,3,0.139276595840717,0,0.0498719942708419,0.001
"7",4,4,"equal","off",FALSE,0,TRUE,3,0.184593314228314,0,0.0472316349226391,0.001
"3",5,4,"equal","off",FALSE,0,TRUE,3,0.290506135621359,0,0.0339662176749801,0.001
"5",6,4,"equal","off",FALSE,0,TRUE,3,0.202289752587645,0,0.027461065194129,0.001
"2",7,4,"equal","off",FALSE,0,TRUE,3,0.131929703711098,0,0.0300505296692453,0.001
"1",8,4,"equal","off",FALSE,0,TRUE,3,0.165938660005935,0,0.00612789765854829,0.046
"9",9,4,"equal","off",FALSE,0,TRUE,3,0.2212697770202,0,0.0154371862254606,0.001
"6",10,4,"equal","off",FALSE,0,TRUE,3,0.152648862603562,0,0.0760744924691903,0.001
"22",11,4,"equal","off",FALSE,0,TRUE,9,0.342056023223501,0,0.0103386617414867,0.008
"12",12,4,"equal","off",FALSE,0,TRUE,9,0.348963125674328,0,0.0649379273185355,0.001
"11",13,4,"equal","off",FALSE,0,TRUE,9,0.214482507030841,0,-0.00976556870233028,0.991
"17",14,4,"equal","off",FALSE,0,TRUE,9,0.321499045054516,0,0.0572236173411559,0.001
"27",15,4,"equal","off",FALSE,0,TRUE,9,0.334499978833501,0,0.0375040969340681,0.001
"26",16,4,"equal","off",FALSE,0,TRUE,9,0.366587609842815,0,0.0106627901856575,0.002
"19",17,4,"equal","off",FALSE,0,TRUE,9,0.369177348560473,0,0.0369925007006867,0.001
"16",18,4,"equal","off",FALSE,0,TRUE,9,0.316229326503948,0,0.0480057210149851,0.001
"30",19,4,"equal","off",FALSE,0,TRUE,9,0.367343654550776,0,0.0465891625532583,0.001
"29",20,4,"equal","off",FALSE,0,TRUE,9,0.338833144046716,0,-0.000125650005755476,0.503
"13",21,4,"equal","off",FALSE,2,TRUE,3,0.0172205342139479,0,0.00449872450252568,0.111
"14",22,4,"equal","off",FALSE,2,TRUE,3,0.0138072221476462,0,0.0211621619315546,0.001
"15",23,4,"equal","off",FALSE,2,TRUE,3,0.012164981172784,0,0.00348398959329339,0.169
"18",24,4,"equal","off",FALSE,2,TRUE,3,0.012861238856313,0,0.00399169504793506,0.129
"20",25,4,"equal","off",FALSE,2,TRUE,3,0.0131174267078061,0,0.0105152139783929,0.003
"21",26,4,"equal","off",FALSE,2,TRUE,3,0.0149677388652621,0,0.0234185200156774,0.001
