P-xcor,P-ycor,patch ID,Block ID,Species,Number in yard
30,79,30_79,3901,species227,6
30,79,30_79,3901,species237,10
30,79,30_79,3901,species295,4
30,79,30_79,3901,species166,7
30,79,30_79,3901,species308,7
30,79,30_79,3901,species59,11
30,79,30_79,3901,species303,3
30,79,30_79,3901,species129,9
30,79,30_79,3901,species159,10
48,10,48_10,502,species371,6
48,10,48_10,502,species249,10
48,10,48_10,502,species166,5
48,10,48_10,502,species288,5
48,10,48_10,502,species295,11
48,10,48_10,502,species159,2
71,55,71_55,2703,species393,6
71,55,71_55,2703,species260,3
71,55,71_55,2703,species248,7
71,55,71_55,2703,species308,10
71,55,71_55,2703,species288,6
71,55,71_55,2703,species52,3
71,55,71_55,2703,species237,5
71,55,71_55,2703,species129,7
71,55,71_55,2703,species59,3
71,55,71_55,2703,species166,3
41,17,41_17,802,species159,9
41,17,41_17,802,species371,1
41,17,41_17,802,species166,7
41,17,41_17,802,species288,10
41,17,41_17,802,species59,5
41,17,41_17,802,species172,3
41,17,41_17,802,species331,5
36,61,36_61,3001,species175,11
36,61,36_61,3001,species172,1
36,61,36_61,3001,species227,11
36,61,36_61,3001,species291,7
36,61,36_61,3001,species237,7
36,61,36_61,3001,species129,10
36,61,36_61,3001,species59,10
36,61,36_61,3001,species166,6
36,61,36_61,3001,species248,5
59,32,59_32,1602,species109,1
59,32,59_32,1602,species74,7
59,32,59_32,1602,species367,6
59,32,59_32,1602,species390,5
59,32,59_32,1602,species260,9
59,32,59_32,1602,species130,3
59,32,59_32,1602,species164,9
59,32,59_32,1602,species288,6
59,32,59_32,1602,species291,10
59,32,59_32,1602,species129,4
59,32,59_32,1602,species166,2
68,21,68_21,1003,species333,5
68,21,68_21,1003,species371,8
68,21,68_21,1003,species331,1
68,21,68_21,1003,species119,10
36,28,36_28,1401,species115,5
36,28,36_28,1401,species251,1
36,28,36_28,1401,species150,7
36,28,36_28,1401,species266,3
36,28,36_28,1401,species368,7
36,28,36_28,1401,species391,2
36,28,36_28,1401,species172,10
36,28,36_28,1401,species52,6
36,28,36_28,1401,species291,6
36,28,36_28,1401,species237,9
36,28,36_28,1401,species59,5
36,28,36_28,1401,species295,5
36,28,36_28,1401,species371,1
23,47,23_47,2301,species248,7
23,47,23_47,2301,species161,8
23,47,23_47,2301,species129,9
23,47,23_47,2301,species237,7
23,47,23_47,2301,species166,7
23,47,23_47,2301,species371,6
23,47,23_47,2301,species59,8
89,27,89_27,1304,species288,3
89,27,89_27,1304,species248,1
89,27,89_27,1304,species166,3
89,27,89_27,1304,species203,5
89,27,89_27,1304,species391,9
89,27,89_27,1304,species371,2
79,26,79_26,1303,species74,9
79,26,79_26,1303,species308,3
79,26,79_26,1303,species295,6
79,26,79_26,1303,species237,4
79,26,79_26,1303,species288,8
79,26,79_26,1303,species159,3
79,26,79_26,1303,species150,8
79,26,79_26,1303,species130,5
79,26,79_26,1303,species166,3
52,1,52_1,2,species100,10
52,1,52_1,2,species69,2
52,1,52_1,2,species390,5
52,1,52_1,2,species150,5
52,1,52_1,2,species260,4
52,1,52_1,2,species171,5
52,1,52_1,2,species391,2
52,1,52_1,2,species49,6
52,1,52_1,2,species288,8
52,1,52_1,2,species52,2
52,1,52_1,2,species291,10
52,1,52_1,2,species159,1
52,1,52_1,2,species371,3
5,56,5_56,2800,species291,5
5,56,5_56,2800,species59,1
5,56,5_56,2800,species295,6
5,56,5_56,2800,species331,4
5,56,5_56,2800,species164,2
5,56,5_56,2800,species371,1
5,56,5_56,2800,species166,9
54,56,54_56,2802,species129,11
54,56,54_56,2802,species303,3
54,56,54_56,2802,species166,10
54,56,54_56,2802,species295,7
54,56,54_56,2802,species249,7
54,56,54_56,2802,species227,2
54,56,54_56,2802,species159,9
54,56,54_56,2802,species371,8
54,56,54_56,2802,species308,8
54,56,54_56,2802,species328,6
54,56,54_56,2802,species172,6
54,56,54_56,2802,species331,10
54,56,54_56,2802,species291,7
54,56,54_56,2802,species59,3
54,56,54_56,2802,species302,5
54,56,54_56,2802,species175,7
54,56,54_56,2802,species391,9
73,19,73_19,903,species49,6
73,19,73_19,903,species172,10
73,19,73_19,903,species59,7
73,19,73_19,903,species331,5
71,53,71_53,2603,species228,9
71,53,71_53,2603,species303,2
71,53,71_53,2603,species295,10
71,53,71_53,2603,species371,10
71,53,71_53,2603,species166,11
71,53,71_53,2603,species331,4
8,91,8_91,4500,species313,5
8,91,8_91,4500,species288,1
8,91,8_91,4500,species129,1
8,91,8_91,4500,species159,3
8,91,8_91,4500,species166,10
8,91,8_91,4500,species153,2
12,46,12_46,2300,species78,4
12,46,12_46,2300,species81,10
12,46,12_46,2300,species228,1
12,46,12_46,2300,species260,8
12,46,12_46,2300,species302,9
12,46,12_46,2300,species3,4
12,46,12_46,2300,species266,5
12,46,12_46,2300,species130,1
12,46,12_46,2300,species308,7
12,46,12_46,2300,species288,11
12,46,12_46,2300,species52,11
12,46,12_46,2300,species227,5
12,46,12_46,2300,species59,2
12,46,12_46,2300,species295,5
12,46,12_46,2300,species166,2
89,39,89_39,1904,species356,11
89,39,89_39,1904,species281,4
89,39,89_39,1904,species129,9
89,39,89_39,1904,species295,6
89,39,89_39,1904,species166,4
89,39,89_39,1904,species371,4
89,39,89_39,1904,species130,6
17,97,17_97,4800,species49,8
17,97,17_97,4800,species52,1
17,97,17_97,4800,species237,2
17,97,17_97,4800,species59,4
17,97,17_97,4800,species371,4
17,97,17_97,4800,species249,1
17,97,17_97,4800,species331,3
17,97,17_97,4800,species374,11
17,97,17_97,4800,species166,5
17,97,17_97,4800,species129,9
17,97,17_97,4800,species172,5
17,97,17_97,4800,species288,2
92,17,92_17,804,species97,6
92,17,92_17,804,species171,2
92,17,92_17,804,species119,1
92,17,92_17,804,species287,5
92,17,92_17,804,species237,8
92,17,92_17,804,species331,1
92,17,92_17,804,species371,7
92,17,92_17,804,species166,9
92,17,92_17,804,species249,7
64,37,64_37,1803,species161,1
64,37,64_37,1803,species303,5
64,37,64_37,1803,species52,7
64,37,64_37,1803,species295,6
64,37,64_37,1803,species371,9
64,37,64_37,1803,species166,9
75,35,75_35,1703,species228,4
75,35,75_35,1703,species371,8
75,35,75_35,1703,species159,1
75,35,75_35,1703,species166,10
75,35,75_35,1703,species129,2
75,35,75_35,1703,species143,8
24,22,24_22,1101,species290,10
24,22,24_22,1101,species251,4
24,22,24_22,1101,species171,2
24,22,24_22,1101,species291,9
24,22,24_22,1101,species371,11
24,22,24_22,1101,species166,5
24,22,24_22,1101,species387,9
24,22,24_22,1101,species298,10
24,22,24_22,1101,species237,10
24,22,24_22,1101,species249,9
24,22,24_22,1101,species331,2
24,22,24_22,1101,species46,1
24,22,24_22,1101,species59,7
24,22,24_22,1101,species266,2
26,61,26_61,3001,species150,5
26,61,26_61,3001,species248,8
26,61,26_61,3001,species302,3
26,61,26_61,3001,species130,1
26,61,26_61,3001,species308,9
26,61,26_61,3001,species303,8
26,61,26_61,3001,species237,2
26,61,26_61,3001,species129,7
26,61,26_61,3001,species59,3
26,61,26_61,3001,species159,3
26,61,26_61,3001,species371,5
10,48,10_48,2400,species295,2
10,48,10_48,2400,species371,2
10,48,10_48,2400,species166,6
10,48,10_48,2400,species159,6
10,48,10_48,2400,species130,2
10,48,10_48,2400,species374,7
10,48,10_48,2400,species172,2
10,48,10_48,2400,species331,2
10,48,10_48,2400,species260,11
10,48,10_48,2400,species115,11
10,48,10_48,2400,species226,11
10,48,10_48,2400,species249,3
46,34,46_34,1702,species390,7
46,34,46_34,1702,species260,7
46,34,46_34,1702,species237,2
46,34,46_34,1702,species129,11
46,34,46_34,1702,species371,2
46,34,46_34,1702,species166,7
87,43,87_43,2104,species266,2
87,43,87_43,2104,species227,2
87,43,87_43,2104,species237,1
87,43,87_43,2104,species159,1
87,43,87_43,2104,species166,5
87,43,87_43,2104,species331,9
87,43,87_43,2104,species371,9
87,43,87_43,2104,species368,1
93,65,93_65,3204,species92,9
93,65,93_65,3204,species11,8
93,65,93_65,3204,species49,6
93,65,93_65,3204,species172,8
93,65,93_65,3204,species227,7
93,65,93_65,3204,species371,2
93,65,93_65,3204,species166,9
26,9,26_9,401,species390,3
26,9,26_9,401,species226,6
26,9,26_9,401,species391,8
26,9,26_9,401,species308,10
26,9,26_9,401,species59,2
26,9,26_9,401,species371,6
26,9,26_9,401,species166,3
26,9,26_9,401,species52,8
26,9,26_9,401,species129,4
5,79,5_79,3900,species227,1
5,79,5_79,3900,species371,11
5,79,5_79,3900,species166,5
5,79,5_79,3900,species237,5
54,93,54_93,4602,species349,6
54,93,54_93,4602,species161,10
54,93,54_93,4602,species368,2
54,93,54_93,4602,species371,8
54,93,54_93,4602,species166,9
94,44,94_44,2204,species251,3
94,44,94_44,2204,species175,10
94,44,94_44,2204,species308,5
94,44,94_44,2204,species291,3
94,44,94_44,2204,species159,10
94,44,94_44,2204,species166,2
94,44,94_44,2204,species295,5
23,67,23_67,3301,species237,2
23,67,23_67,3301,species59,8
23,67,23_67,3301,species129,1
23,67,23_67,3301,species166,8
23,67,23_67,3301,species164,10
23,67,23_67,3301,species371,6
90,12,90_12,604,species276,11
90,12,90_12,604,species11,7
90,12,90_12,604,species302,8
90,12,90_12,604,species49,7
90,12,90_12,604,species59,5
90,12,90_12,604,species159,7
49,25,49_25,1202,species367,8
49,25,49_25,1202,species52,4
49,25,49_25,1202,species374,5
49,25,49_25,1202,species295,9
49,25,49_25,1202,species159,7
49,25,49_25,1202,species331,3
1,30,1_30,1500,species248,11
1,30,1_30,1500,species302,9
1,30,1_30,1500,species331,4
55,78,55_78,3902,species371,11
55,78,55_78,3902,species159,1
55,78,55_78,3902,species331,3
55,78,55_78,3902,species166,11
55,78,55_78,3902,species288,7
55,78,55_78,3902,species59,10
55,78,55_78,3902,species237,10
55,78,55_78,3902,species227,4
55,78,55_78,3902,species24,1
55,78,55_78,3902,species291,10
55,78,55_78,3902,species303,2
32,54,32_54,2701,species148,5
32,54,32_54,2701,species131,1
32,54,32_54,2701,species146,3
32,54,32_54,2701,species11,6
32,54,32_54,2701,species368,9
32,54,32_54,2701,species391,9
32,54,32_54,2701,species249,10
32,54,32_54,2701,species164,5
32,54,32_54,2701,species227,8
32,54,32_54,2701,species59,6
32,54,32_54,2701,species159,10
32,54,32_54,2701,species371,5
32,54,32_54,2701,species166,11
95,19,95_19,904,species107,5
95,19,95_19,904,species126,9
95,19,95_19,904,species308,3
95,19,95_19,904,species52,8
95,19,95_19,904,species331,5
