pxcor,pycor,patch ID,block ID,patch richness
56,36,56_36,1802,5
68,43,68_43,2103,7
50,34,50_34,1702,3
96,84,96_84,4204,8
79,52,79_52,2603,17
87,41,87_41,2004,4
94,14,94_14,704,6
3,26,3_26,1300,11
74,85,74_85,4203,4
78,44,78_44,2203,4
42,99,42_99,4902,6
86,35,86_35,1704,9
41,63,41_63,3102,10
9,64,9_64,3200,5
49,57,49_57,2802,7
22,91,22_91,4501,12
8,30,8_30,1500,7
63,31,63_31,1503,4
28,90,28_90,4501,6
47,72,47_72,3602,8
37,43,37_43,2101,7
61,39,61_39,1903,8
26,35,26_35,1701,5
90,99,90_99,4904,2
70,53,70_53,2603,4
20,35,20_35,1701,3
69,84,69_84,4203,20
64,81,64_81,4003,15
69,45,69_45,2203,3
38,1,38_1,1,4
66,83,66_83,4103,6
65,44,65_44,2203,3
91,82,91_82,4104,10
79,95,79_95,4703,2
38,25,38_25,1201,4
25,91,25_91,4501,6
24,13,24_13,601,12
21,77,21_77,3801,11
8,20,8_20,1000,9
75,45,75_45,2203,1
49,20,49_20,1002,6
0,90,0_90,4500,10
85,5,85_5,204,11
88,37,88_37,1804,5
8,8,8_8,400,2
16,66,16_66,3300,7
14,5,14_5,200,3
94,97,94_97,4804,13
35,41,35_41,2001,13
85,20,85_20,1004,4
3,75,3_75,3700,3
70,89,70_89,4403,11
79,9,79_9,403,6
57,65,57_65,3202,2
37,68,37_68,3401,12
37,27,37_27,1301,5
41,40,41_40,2002,11
94,68,94_68,3404,3
94,8,94_8,404,9
84,7,84_7,304,4
73,97,73_97,4803,5
16,27,16_27,1300,16
51,69,51_69,3402,8
2,8,2_8,400,5
4,3,4_3,100,9
15,95,15_95,4700,15
69,58,69_58,2903,8
7,49,7_49,2400,6
88,12,88_12,604,6
84,74,84_74,3704,8
21,79,21_79,3901,10
61,25,61_25,1203,7
13,80,13_80,4000,5
74,15,74_15,703,6
44,71,44_71,3502,13
58,69,58_69,3402,6
9,84,9_84,4200,12
4,12,4_12,600,3
6,69,6_69,3400,3
60,59,60_59,2903,9
96,70,96_70,3504,3
68,54,68_54,2703,4
45,93,45_93,4602,7
3,77,3_77,3800,10
85,44,85_44,2204,4
20,9,20_9,401,2
58,42,58_42,2102,2
89,33,89_33,1604,6
26,43,26_43,2101,4
21,85,21_85,4201,5
76,56,76_56,2803,4
53,31,53_31,1502,3
88,6,88_6,304,10
74,30,74_30,1503,5
69,89,69_89,4403,2
29,41,29_41,2001,5
83,2,83_2,104,5
28,73,28_73,3601,2
54,58,54_58,2902,7
8,89,8_89,4400,5
58,93,58_93,4602,5
22,89,22_89,4401,3
36,57,36_57,2801,11
7,44,7_44,2200,2
74,47,74_47,2303,2
26,28,26_28,1401,6
94,80,94_80,4004,5
75,26,75_26,1303,9
81,68,81_68,3404,8
21,14,21_14,701,11
99,42,99_42,2104,3
10,5,10_5,200,2
16,44,16_44,2200,2
2,13,2_13,600,2
91,9,91_9,404,5
18,33,18_33,1600,4
12,45,12_45,2200,7
36,30,36_30,1501,3
6,43,6_43,2100,13
26,18,26_18,901,4
77,0,77_0,3,10
72,20,72_20,1003,5
17,69,17_69,3400,5
14,28,14_28,1400,8
1,7,1_7,300,6
84,92,84_92,4604,8
53,70,53_70,3502,10
66,23,66_23,1103,3
81,42,81_42,2104,7
49,62,49_62,3102,11
56,26,56_26,1302,7
63,75,63_75,3703,7
75,13,75_13,603,3
55,62,55_62,3102,3
51,34,51_34,1702,2
50,70,50_70,3502,12
60,92,60_92,4603,16
73,53,73_53,2603,14
52,2,52_2,102,5
42,85,42_85,4202,5
63,58,63_58,2903,12
83,52,83_52,2604,19
11,30,11_30,1500,5
73,4,73_4,203,6
30,84,30_84,4201,5
6,20,6_20,1000,5
83,30,83_30,1504,12
73,37,73_37,1803,10
37,14,37_14,701,5
13,59,13_59,2900,5
98,37,98_37,1804,7
31,16,31_16,801,5
69,75,69_75,3703,2
44,97,44_97,4802,4
29,72,29_72,3601,15
1,19,1_19,900,8
21,21,21_21,1001,4
75,27,75_27,1303,10
59,70,59_70,3502,5
53,30,53_30,1502,3
69,8,69_8,403,22
53,97,53_97,4802,9
59,63,59_63,3102,5
28,87,28_87,4301,15
21,53,21_53,2601,16
97,80,97_80,4004,6
55,95,55_95,4702,7
56,8,56_8,402,3
13,81,13_81,4000,11
29,80,29_80,4001,6
8,34,8_34,1700,5
84,1,84_1,4,5
14,68,14_68,3400,2
40,3,40_3,102,15
42,30,42_30,1502,5
29,69,29_69,3401,5
5,4,5_4,200,3
1,29,1_29,1400,3
1,73,1_73,3600,6
43,51,43_51,2502,5
47,17,47_17,802,7
17,62,17_62,3100,8
82,52,82_52,2604,8
95,39,95_39,1904,5
68,2,68_2,103,2
23,59,23_59,2901,8
2,53,2_53,2600,2
87,90,87_90,4504,11
54,28,54_28,1402,6
68,55,68_55,2703,7
87,38,87_38,1904,3
34,87,34_87,4301,10
67,10,67_10,503,5
38,44,38_44,2201,7
73,63,73_63,3103,5
11,78,11_78,3900,5
37,55,37_55,2701,13
44,53,44_53,2602,5
78,74,78_74,3703,9
69,31,69_31,1503,11
23,75,23_75,3701,1
23,12,23_12,601,5
85,82,85_82,4104,6
19,85,19_85,4200,6
71,95,71_95,4703,11
90,76,90_76,3804,10
42,89,42_89,4402,4
57,94,57_94,4702,11
60,73,60_73,3603,7
99,41,99_41,2004,1
60,60,60_60,3003,5
2,48,2_48,2400,12
39,49,39_49,2401,8
37,0,37_0,1,2
45,98,45_98,4902,12
87,93,87_93,4604,7
94,21,94_21,1004,4
84,51,84_51,2504,9
33,56,33_56,2801,7
74,38,74_38,1903,15
34,37,34_37,1801,5
38,23,38_23,1101,1
37,65,37_65,3201,3
18,12,18_12,600,4
97,96,97_96,4804,5
28,21,28_21,1001,7
44,6,44_6,302,12
38,11,38_11,501,6
93,57,93_57,2804,11
80,13,80_13,604,14
70,86,70_86,4303,8
30,16,30_16,801,8
74,44,74_44,2203,11
63,39,63_39,1903,19
29,11,29_11,501,12
71,71,71_71,3503,6
47,1,47_1,2,4
62,43,62_43,2103,4
34,74,34_74,3701,6
2,87,2_87,4300,6
26,22,26_22,1101,6
30,65,30_65,3201,7
7,56,7_56,2800,9
89,84,89_84,4204,5
13,38,13_38,1900,6
96,8,96_8,404,5
86,94,86_94,4704,7
20,20,20_20,1001,8
44,92,44_92,4602,6
98,62,98_62,3104,5
12,6,12_6,300,6
10,35,10_35,1700,5
33,58,33_58,2901,6
8,78,8_78,3900,13
54,62,54_62,3102,6
